id,UMAP1,UMAP2,supervoxel_id,position,side,region,flow,super_class,hemilineage,cell_function,nerve,cell_type,fafb_cell_type,manc_cell_type,cluster,super_cluster
720575941575975350,-6.60396710584241,-3.3316745719234597,76143861289968897,"120670, 146802, 3872",right,ventral_nerve_cord,efferent,motor,16B,neck_motor,right_dorsal_prothoracic_nerve,DProN3a,NA,"DProN3a,DProN3b",EFF_12,head-eye-antenna
720575941504200613,-6.7035545463331285,-3.4322320184032535,76847548732049591,"139350,145961,3977",left,ventral_nerve_cord,efferent,motor,16B,neck_motor,left_dorsal_prothoracic_nerve,DProN5,NA,DProN5,EFF_12,head-eye-antenna
720575941390352388,-6.650306140876586,-3.2890456876079712,76777179920995463,"139072,146134,3807",left,ventral_nerve_cord,efferent,motor,16B,neck_motor,left_dorsal_prothoracic_nerve,DProN9,NA,DProN9,EFF_12,head-eye-antenna
720575941400967459,-0.9899613017805197,2.8528887072284537,76071705503967968,"117612, 92500, 2650",left,ventral_nerve_cord,efferent,visceral_circulatory,NA,NA,"left_anterior_dorsal_mesothoracic_nerve, right_anterior_dorsal_mesothoracic_nerve, left_dorsal_metathoracic_nerve, right_dorsal_metathoracic_nerve",EAXXX079,NA,EAXXX079,EFF_09,flight-energy-power
720575941565285730,-6.351869022346318,-3.5444565972606803,76563462012811813,"131894, 69240, 2521",right,central_brain,efferent,motor,putative_primary,neck_motor,left_cervical_nerve,CvN9,CvN9,NA,EFF_12,head-eye-antenna
720575941526853030,-6.493800556159781,-3.1339969596187736,76284461272766144,"123167, 143356, 3835",left,ventral_nerve_cord,efferent,motor,NA,neck_motor,right_cervical_nerve,CvNA1,NA,CvNA1,EFF_12,head-eye-antenna
720575941642129528,-6.031885539985465,-3.522001858643739,76704130848397625,"135562, 65602, 2654",left,central_brain,efferent,motor,putative_primary,neck_motor,left_cervical_nerve,CvN10,CvN10,NA,EFF_12,head-eye-antenna
720575941489332169,-6.741794979072391,-3.4224849900524283,76143861290035439,"120391, 145577, 3896",right,ventral_nerve_cord,efferent,motor,16B,neck_motor,right_dorsal_prothoracic_nerve,DProN4,NA,DProN4,EFF_12,head-eye-antenna
720575941526954424,-5.934048568702518,-3.602191801957347,75789474546137523,"109301,70933,2466",right,central_brain,efferent,motor,putative_primary,neck_motor,right_cervical_nerve,CvN10,CvN10,NA,EFF_12,head-eye-antenna
720575941544264041,-6.639925395942512,-3.309739585808959,76143930009536172,"120771, 147828, 3907",right,ventral_nerve_cord,efferent,motor,16B,neck_motor,right_dorsal_prothoracic_nerve,DProN3b,NA,"DProN3a,DProN3b",EFF_12,head-eye-antenna
720575941597457564,-6.288074886298943,-3.431484576157775,76633830756553348,"134448, 69260, 2374",left,central_brain,efferent,motor,putative_primary,neck_motor,left_cervical_nerve,CvN4,CvN4,NA,EFF_12,head-eye-antenna
720575941577663825,-6.723617946601688,-3.4021555146495963,76143930076657792,"120398, 148265, 4142",right,ventral_nerve_cord,efferent,motor,16B,neck_motor,right_dorsal_prothoracic_nerve,DProN8,NA,DProN8,EFF_12,head-eye-antenna
720575941435429676,-6.3387798423536434,-3.5748592576305542,76214161247606993,"121808, 144126, 3644",right,ventral_nerve_cord,efferent,motor,16B,neck_motor,right_dorsal_prothoracic_nerve,DProN7,NA,DProN7,EFF_12,head-eye-antenna
720575941459454704,-6.514962589240848,-3.298723812989446,76141180828402039,"120244,67063,2556",left,central_brain,efferent,motor,putative_primary,neck_motor,left_cervical_nerve,CvN7,CvN7,NA,EFF_12,head-eye-antenna
