flow,super_class,cell_class,cell_sub_class,cell_type,region,side,cell_function,cell_function_detailed,peripheral_target_type,body_part_sensory,body_part_effector,nerve,hemilineage,sexually_dimorphic,neurotransmitter_verified,neuropeptide_verified,neurotransmitter_predicted,other_names,alignment_cell_type,fafb_783_cell_type,manc_121_cell_type,fanc_1116_cell_type,hemibrain_121_cell_type,malecns_09_cell_type,fafb_783_match_id,manc_121_match_id,fanc_1116_match_id,hemibrain_121_match_id,malecns_09_match_id
,,distal_medulla,astrocyte,,,,"hormone_regulation,stress_tolerance,energy_metabolism,osmotic_balance",extend_femur_tibia_joint,i2_muscle,orbital,,left_pharyngeal_nerve_or_accessory_pharyngeal_nerve,15B,,,Proc,,,,,,,,,,,,,
,,distal_medulla_dorsal_rim_area,BiT,,,,hunger,extend_tibia_tarsus_joint,iii1_muscle,pharynx,,left_posterior_dorsal_mesothoracic_nerve,16B,,,SIFa,,,,,,,,,,,,,
,,DN3,bristle_neuron,,,,hygrosensory,"fatty_acids, Gr64e",iii3_muscle,postocellar,,"left_posterior_dorsal_mesothoracic_nerve, left_mesothoracic_accessory_nerve, left_mesothoracic_leg_nerve, right_anterior_dorsal_mesothoracic_nerve, right_mesothoracic_accessory_nerve, right_mesothoracic_leg_nerve",17A,,,sNPF,,,,,,,,,,,,,
,,eye_motor_neuron,central_complex_intrinsic_neuron,,,,interoceptive,"fatty_acids, Ir56d, Gr64e",iii4_muscle,postorbital_dorsal,,"left_posterior_dorsal_mesothoracic_nerve, left_mesothoracic_accessory_nerve, right_anterior_dorsal_mesothoracic_nerve, right_posterior_dorsal_mesothoracic_nerve",17A_put1,,,Spab,,,,,,,,,,,,,
,,hair_plate_neuron,central_complex_output_neuron,,,,jump_escape,flex_coxa_trochanter_joint,internal_sensillum,postorbital_ventral,,"left_posterior_dorsal_mesothoracic_nerve, right_posterior_dorsal_mesothoracic_nerve",17B,,,tachykinin,,,,,,,,,,,,,
,,haltere_motor_neuron,centrifugal_lobula,,,,landing,flex_femur_tibia_joint,internal_taste_sensillum,prosternal_organ,,left_prosternal_nerve,17X,,,Tk,,,,,,,,,,,,,
,,hind_leg_motor_neuron,centrifugal_lobula_lobula_plate,,,,leg_cpg,flex_tibia_tarsus_joint,internal_thermosensory_receptor,reproductive_tract,,left_prothoracic_accessory_nerve,18B,,,Trissin,,,,,,,,,,,,,
,,hind_leg_orphan_neuron,centrifugal_lobula_lobula_plate_medulla,,,,leg_motor,FMRFa,iv1_muscle,retina,,"left_prothoracic_accessory_nerve, left_dorsal_prothoracic_nerve, right_dorsal_prothoracic_nerve, right_ventral_prothoracic_nerve",18X,,,,,,,,,,,,,,,,
,,hygrosensory_receptor_neuron,centrifugal_lobula_medulla,,,,leg_rubbing,fruity_volatile,iv2_muscle,thorax,,"left_prothoracic_accessory_nerve, left_prothoracic_leg_nerve, left_ventral_prothoracic_nerve, right_prothoracic_leg_nerve, right_prothoracic_accessory_nerve, right_ventral_prothoracic_nerve, right_prosternal_nerve",19A,,,,,,,,,,,,,,,,
,,internal_sensillum_tactile_neuron,centrifugal_lobula_plate,,,,"myomodulation,energy_metabolism",haltere_power,iv3_muscle,unknown,,left_prothoracic_chordotonal_nerve,19B,,,,,,,,,,,,,,,,
,,internal_taste_sensillum_gustatory_neuron,centrifugal_medulla,,,,neck_motor,"heating, Gr28a",iv4_muscle,uterus,,left_prothoracic_leg_nerve,20A.22A,,,,,,,,,,,,,,,,
,,kenyon_cell,centrifugal_medulla_lobula,,,,neuromodulatory,"heavy_metal, Ir47a",leg_muscle,vibrissa,,left_second_abdominal_nerve,20B.21B.22B,,,,,,,,,,,,,,,,
,,lamina_monopolar,centrifugal_medulla_lobula_lobula_plate,,,,nociception,"hemolymph_sugar, Gr43a",levator_muscle,wheelers_organ,,"left_second_abdominal_nerve, right_second_abdominal_nerve",21A,,,,,,,,,,,,,,,,
,,lamina_tangential,circadian_neuron,,,,ocellar,Hug,long_tendon_muscle,wing,,left_stomodeal_nerve,21X,,,,,,,,,,,,,,,,
,,lamina_wide_field,corpus_allatum_neurosecretory_cell,,,,octopaminergic,"humid, Ir68a",m13_muscle,wing_base,,left_stomodeal_nerve?,23B,,,,,,,,,,,,,,,,
