vertex_id,root_626,super_class,cell_type,betweenness
436,720575941611549417,central_brain_intrinsic,CB0058,170.82953708459746
437,720575941596512389,,,0.0
438,720575941524211275,ventral_nerve_cord_intrinsic,INXXX003,30156.300956596253
439,720575941573189021,central_brain_intrinsic,CB1721,3.1654246938759445
440,720575941605018046,ventral_nerve_cord_intrinsic,IN13A012,611.3980651894562
441,720575941431564719,,,0.0123933329576536
442,720575941450261341,ascending,ANXXX027,75773.16754289423
443,720575941630130982,,,0.0
444,720575941449857351,optic_lobe_intrinsic,T2a,0.0
445,720575941514541388,ventral_nerve_cord_intrinsic,IN09B022,256.3114451237429
446,720575941509519058,optic_lobe_intrinsic,T4c,0.0
447,720575941431435951,visual_centrifugal,cM08b,188.7534685596143
448,720575941499420555,ventral_nerve_cord_intrinsic,IN17A048,84.0135185627379
449,720575941352918576,descending,DNg70,81149.9494512091
450,720575941525735938,central_brain_intrinsic,PFR,0.0
